date,open,high,low,close,volume
2019-01-02,120.42,123.15,119.84,122.69,27295100
2019-01-03,122.00,122.67,119.94,120.49,29294600
2019-01-04,122.01,125.36,121.82,124.99,35355300
2019-01-07,125.05,127.89,124.58,127.18,30477900
2019-01-08,128.28,129.18,127.00,129.13,27320900
2019-01-09,129.57,130.64,129.03,130.19,25764600
2019-01-10,129.43,130.94,128.78,130.87,22896800
2019-01-11,130.29,131.19,129.99,130.90,22428400
2019-01-14,130.12,130.69,129.46,129.60,29185000
2019-01-15,129.97,130.88,129.46,130.69,25678900
2019-01-16,130.90,132.33,130.89,131.67,20827300
2019-01-17,131.19,133.32,131.17,132.86,19273400
2019-01-18,133.56,134.77,133.02,134.23,28306700
2019-01-22,133.44,133.71,131.24,132.11,27741100
2019-01-23,132.40,133.18,130.70,131.74,20621300
2019-01-24,131.59,132.80,131.50,132.53,16976300
2019-01-25,133.58,134.51,133.41,134.24,22266900
2019-01-28,132.98,133.85,132.44,133.52,22784700
2019-01-29,133.66,133.76,132.91,133.20,12084800
2019-01-30,133.91,135.15,132.73,134.66,25516900
2019-01-31,134.48,136.02,134.41,135.81,27252900
2019-02-01,136.07,136.37,135.37,135.91,17057900
2019-02-04,136.12,137.55,135.64,137.54,21301700
2019-02-05,137.58,138.12,136.88,137.68,18295900
2019-02-06,137.61,137.91,136.75,137.51,13720600
2019-02-07,136.59,137.30,135.20,136.38,22850800
2019-02-08,135.81,136.57,135.30,136.53,13463000
2019-02-11,136.93,137.71,136.32,137.66,16374800
2019-02-12,138.41,139.57,138.37,139.39,20779900
2019-02-13,139.78,140.09,139.12,139.78,15534500
2019-02-14,139.01,140.64,138.85,140.10,18251000
2019-02-15,141.02,142.35,140.55,142.33,27240200
2019-02-19,141.72,143.13,141.72,142.72,15856900
2019-02-20,142.73,143.57,142.61,143.39,18317400
2019-02-21,143.16,143.38,142.18,142.85,17497000
2019-02-22,143.29,144.20,143.13,144.09,20411800
2019-02-25,144.93,145.32,144.03,144.12,17957100
2019-02-26,143.96,144.12,142.94,143.13,21497300
2019-02-27,142.57,143.44,142.24,143.33,18194900
2019-02-28,143.12,143.48,142.47,142.84,18155300
2019-03-01,143.91,144.26,142.81,144.17,19247100
2019-03-04,144.44,144.66,141.75,142.87,23301800
2019-03-05,142.98,142.99,142.09,142.20,16798200
2019-03-06,142.15,142.20,139.29,139.41,29604600
2019-03-07,139.41,139.52,137.91,138.19,26822500
2019-03-08,137.43,138.27,137.22,138.16,20466800
2019-03-11,138.58,140.59,138.39,140.57,20854500
2019-03-12,140.67,141.20,140.12,140.64,18966800
2019-03-13,141.14,141.88,140.99,141.20,24109100
2019-03-14,141.13,141.24,140.49,140.63,14217500
2019-03-15,140.79,142.01,140.61,141.00,22025900
2019-03-18,141.27,142.54,140.74,141.90,24510200
2019-03-19,142.57,142.61,140.83,141.18,18633100
2019-03-20,141.17,141.98,139.23,140.00,29463200
2019-03-21,139.52,142.56,139.52,141.84,31845000
2019-03-22,140.86,141.17,136.63,136.68,40663000
2019-03-25,136.55,138.23,135.57,137.28,26454700
2019-03-26,138.37,139.60,137.75,138.73,21308600
2019-03-27,138.59,139.05,136.55,138.19,23477100
2019-03-28,138.66,139.70,137.88,139.42,19473300
2019-03-29,140.39,140.65,138.94,139.85,28298900
2019-04-01,140.95,141.52,140.42,141.37,20075200
2019-04-02,141.48,141.48,140.23,141.01,18253500
2019-04-03,142.27,142.64,141.35,141.74,19554700
2019-04-04,141.85,142.52,141.45,142.43,15909500
2019-04-05,142.78,143.85,142.68,143.77,21379000
2019-04-08,143.28,143.88,142.57,143.53,14202400
2019-04-09,142.93,143.15,141.51,141.78,18534200
2019-04-10,142.03,143.75,141.90,143.70,18938800
2019-04-11,143.90,144.04,143.25,143.52,12218700
2019-04-12,144.45,144.48,143.52,144.04,14120300
2019-04-15,144.29,144.43,142.96,143.58,10964000
2019-04-16,144.07,144.24,143.40,143.91,16782900
2019-04-17,144.42,144.43,141.78,142.60,17108500
2019-04-18,142.61,142.76,141.28,142.18,23276300
2019-04-22,141.88,142.33,141.16,141.80,15596800
2019-04-23,141.93,144.38,141.92,143.94,23396100
2019-04-24,143.99,144.96,143.76,144.39,18053100
2019-04-25,143.72,143.85,142.02,143.19,19365100
2019-04-26,143.38,144.78,142.87,144.58,16999100
2019-04-29,144.90,145.81,144.78,145.28,13698900
2019-04-30,145.38,145.42,143.38,144.60,24127500
2019-05-01,144.95,145.00,143.16,143.23,17734300
2019-05-02,143.09,144.47,142.22,143.90,22715700
2019-05-03,144.62,146.75,144.51,146.65,20178800
2019-05-06,144.50,147.18,144.34,146.81,21262100
2019-05-07,145.53,146.04,142.74,143.91,25434500
2019-05-08,143.66,144.42,143.10,143.20,16113700
