date,open,high,low,close,volume
2019-01-02,98.30,98.70,98.04,98.69,19841500
2019-01-03,98.81,100.07,98.76,99.82,21187000
2019-01-04,98.85,99.02,98.29,98.66,12970200
2019-01-07,99.07,99.10,98.26,98.37,8498100
2019-01-08,98.32,98.52,98.08,98.11,7737100
2019-01-09,97.97,98.11,97.60,97.96,9349200
2019-01-10,97.99,98.09,97.23,97.33,8222900
2019-01-11,97.63,97.98,97.50,97.71,5786900
2019-01-14,97.68,97.77,97.15,97.34,6730500
2019-01-15,97.41,97.42,96.91,96.99,8997400
2019-01-16,96.62,97.27,96.56,97.08,6048400
2019-01-17,97.13,97.38,96.87,97.11,8153400
2019-01-18,96.83,97.05,96.46,96.60,14106400
2019-01-22,97.21,97.54,97.01,97.25,8881100
2019-01-23,96.86,97.46,96.82,97.21,5776800
2019-01-24,97.69,97.97,97.53,97.85,7121900
2019-01-25,97.43,97.56,97.21,97.38,6460800
2019-01-28,97.39,97.71,97.29,97.29,6435800
2019-01-29,97.38,97.80,97.27,97.78,5750100
2019-01-30,97.63,97.75,97.22,97.71,10571300
2019-01-31,98.21,98.72,98.17,98.55,11843400
2019-02-01,98.37,98.45,97.85,97.95,12024600
2019-02-04,97.53,97.62,97.19,97.51,8966200
2019-02-05,97.77,98.17,97.71,97.96,6983300
2019-02-06,98.28,98.32,97.77,98.01,5184000
2019-02-07,98.36,98.72,98.17,98.66,8781000
2019-02-08,99.00,99.17,98.85,99.08,5885400
2019-02-11,98.68,98.94,98.59,98.69,4352800
2019-02-12,98.52,98.59,98.15,98.44,7939600
2019-02-13,98.11,98.30,97.91,98.06,4757700
2019-02-14,98.91,98.96,98.45,98.62,5868900
2019-02-15,98.44,98.81,98.42,98.78,5527200
2019-02-19,99.13,99.23,98.75,99.03,5872800
2019-02-20,98.75,98.86,98.46,98.74,4455800
2019-02-21,98.04,98.11,97.74,97.86,7382500
2019-02-22,98.36,98.75,98.32,98.45,6374600
2019-02-25,98.12,98.23,97.92,98.15,6293500
2019-02-26,98.57,98.65,98.28,98.64,6028900
2019-02-27,98.08,98.09,97.40,97.52,7737300
2019-02-28,97.63,97.68,96.94,97.19,9533400
2019-03-01,96.84,97.00,96.28,96.29,13541100
2019-03-04,96.80,97.19,96.62,97.05,9808500
2019-03-05,96.79,97.27,96.79,97.25,5595200
2019-03-06,97.31,97.80,97.29,97.61,7766700
2019-03-07,97.90,98.40,97.87,98.24,8187200
2019-03-08,98.29,98.75,98.07,98.65,7517600
2019-03-11,98.52,98.53,98.17,98.36,5157800
2019-03-12,98.43,99.19,98.40,99.05,6422300
2019-03-13,98.73,98.97,98.69,98.86,4386300
2019-03-14,98.75,98.81,98.13,98.15,8188400
2019-03-15,98.79,98.96,98.52,98.80,4302000
2019-03-18,98.65,98.90,98.61,98.74,3893300
2019-03-19,98.26,98.69,98.10,98.52,5220200
2019-03-20,98.79,99.69,98.78,99.55,10123700
2019-03-21,99.78,99.89,99.60,99.77,7182600
2019-03-22,100.80,101.66,100.67,101.32,13077000
2019-03-25,101.28,102.20,101.04,101.49,9736300
2019-03-26,101.19,101.67,101.13,101.41,7502000
2019-03-27,101.78,102.52,101.69,102.35,14207200
2019-03-28,102.45,102.81,102.26,102.70,9143200
2019-03-29,101.99,102.63,101.96,102.61,10841400
2019-04-01,101.90,101.95,101.00,101.15,16501500
2019-04-02,101.24,101.45,101.05,101.33,9725000
2019-04-03,100.53,100.74,100.33,100.46,10407000
2019-04-04,100.52,100.76,100.39,100.74,7503400
2019-04-05,100.54,100.99,100.51,100.87,6321800
2019-04-08,100.71,100.81,100.46,100.51,4446400
2019-04-09,101.03,101.12,100.66,100.83,7020300
2019-04-10,101.07,101.27,100.93,101.07,7519900
2019-04-11,100.79,100.86,100.37,100.48,8679300
2019-04-12,99.94,100.08,99.73,99.77,7005500
2019-04-15,99.85,100.03,99.81,100.02,3070000
2019-04-16,99.64,99.73,99.33,99.39,8927300
2019-04-17,99.33,99.68,99.31,99.43,6118500
2019-04-18,99.88,100.11,99.85,99.95,27589400
2019-04-22,99.60,99.68,99.42,99.47,6241200
2019-04-23,99.72,99.79,99.54,99.68,6239700
2019-04-24,100.12,100.51,100.11,100.50,7302000
2019-04-25,100.43,100.54,100.11,100.35,5380900
2019-04-26,100.83,100.86,100.55,100.69,5950700
2019-04-29,100.22,100.32,99.91,100.05,10246000
2019-04-30,99.99,100.64,99.98,100.56,7957400
2019-05-01,100.81,101.43,100.73,100.98,14371900
2019-05-02,100.80,100.90,100.28,100.50,6612800
2019-05-03,100.78,100.96,100.55,100.78,6191700
2019-05-06,101.31,101.37,101.00,101.06,4482500
2019-05-07,101.49,101.99,101.38,101.83,8984900
2019-05-08,102.00,102.12,101.30,101.39,6907600
2019-05-09,101.96,102.12,101.31,101.81,9411900
2019-05-10,101.78,102.24,101.54,101.67,6037800
2019-05-13,102.20,102.63,102.08,102.47,10501600
2019-05-14,102.29,102.40,102.04,102.17,5690400
2019-05-15,102.86,102.91,102.50,102.79,9566300
2019-05-16,102.53,102.55,102.31,102.45,7666400
2019-05-17,102.92,102.93,102.44,102.68,4747100
2019-05-20,102.79,103.00,102.40,102.47,6043100
2019-05-21,102.36,102.46,102.12,102.31,4021800
2019-05-22,102.50,102.96,102.46,102.89,5675300
2019-05-23,103.41,104.39,103.41,104.05,9743700
2019-05-24,103.96,104.14,103.82,104.14,4981900
2019-05-28,104.54,105.05,104.39,104.89,8098600
2019-05-29,105.68,105.87,105.13,105.21,13260600
2019-05-30,105.40,106.14,105.04,106.11,13024800
2019-05-31,106.68,107.50,106.61,107.44,18933600
2019-06-03,107.73,108.27,107.43,108.16,17822400
2019-06-04,107.30,107.60,106.62,106.93,14250000
2019-06-05,106.59,106.94,106.26,106.32,8815200
2019-06-06,106.96,107.46,106.43,106.66,9621100
2019-06-07,107.63,107.86,107.34,107.59,11378500
2019-06-10,106.72,106.74,106.43,106.57,8288700
2019-06-11,106.51,106.79,106.43,106.64,5115100
2019-06-12,106.48,106.78,106.41,106.72,5278700
2019-06-13,106.82,107.19,106.81,107.09,5560400
2019-06-14,107.06,107.56,107.06,107.36,5838800
2019-06-17,107.30,107.60,107.09,107.55,6046400
2019-06-18,108.40,108.50,107.76,108.09,10320700
2019-06-19,107.68,108.39,107.46,108.24,11962500
2019-06-20,108.54,109.03,108.28,108.53,10721500
2019-06-21,108.22,108.23,107.29,107.33,14495000
2019-06-24,107.93,108.23,107.86,108.13,6378800
2019-06-25,108.44,108.69,108.39,108.47,9604600
2019-06-26,108.35,108.37,107.70,107.77,12766800
2019-06-27,108.05,108.69,107.79,108.53,9724200
2019-06-28,108.27,108.68,108.17,108.46,8149200
2019-07-01,108.48,108.62,107.68,108.21,14131200
2019-07-02,108.48,109.15,108.39,109.04,10494300
2019-07-03,109.25,109.88,109.25,109.82,5380300
2019-07-05,108.45,108.46,107.74,108.36,12180100
2019-07-08,108.87,109.01,108.51,108.51,6490000
2019-07-09,108.57,108.59,108.14,108.47,6215700
2019-07-10,108.30,108.37,107.61,107.87,9470000
2019-07-11,107.45,107.53,106.18,106.43,14126800
2019-07-12,106.31,106.74,106.11,106.55,6992000
2019-07-15,106.74,107.23,106.74,107.17,6055500
2019-07-16,106.51,106.87,106.34,106.85,6172700
2019-07-17,107.24,108.03,107.23,108.00,9662200
2019-07-18,107.58,108.27,107.39,108.01,5724900
2019-07-19,107.68,107.95,107.61,107.76,5804800
2019-07-22,108.40,108.41,107.80,107.96,5204100
2019-07-23,107.68,107.80,107.17,107.37,8108900
2019-07-24,107.68,107.93,107.58,107.84,6389700
2019-07-25,107.40,107.53,106.79,107.32,8893100
2019-07-26,107.77,107.83,107.40,107.58,6188400
2019-07-29,107.86,107.97,107.52,107.61,6231800
2019-07-30,108.01,108.09,107.54,107.87,5678500
2019-07-31,107.77,109.10,107.73,108.74,15798700
2019-08-01,109.37,111.01,109.26,110.90,26664800
2019-08-02,111.23,111.92,111.01,111.92,15143100
2019-08-05,113.26,113.87,112.87,113.86,18543000
2019-08-06,113.31,114.77,113.22,114.77,12747400
2019-08-07,116.75,117.29,114.60,114.81,32582000
2019-08-08,114.08,115.14,113.13,115.06,14746000
2019-08-09,115.33,116.06,114.68,114.83,10626000
2019-08-12,116.20,117.60,116.02,117.22,14094300
2019-08-13,117.91,117.99,116.38,116.82,15974900
2019-08-14,119.02,119.48,118.65,119.45,15068900
2019-08-15,119.66,121.84,119.36,120.78,23588700
2019-08-16,119.75,120.12,118.75,119.81,17150500
2019-08-19,117.71,118.61,117.66,118.10,13614700
2019-08-20,119.11,119.39,118.75,119.32,7451500
2019-08-21,118.65,119.53,118.30,118.52,9372000
2019-08-22,118.06,118.64,117.64,117.74,13878800
2019-08-23,117.67,119.93,117.60,119.67,16191800
2019-08-26,119.60,119.94,119.12,119.19,12174500
2019-08-27,120.22,121.11,120.10,121.02,11332300
2019-08-28,121.98,122.08,121.07,121.18,10095900
2019-08-29,120.73,120.80,119.81,120.72,8884900
2019-08-30,120.20,120.92,120.00,120.75,13550800
2019-09-03,120.81,122.11,120.38,120.91,15660800
2019-09-04,120.35,121.25,120.31,121.09,7962200
2019-09-05,119.64,119.75,118.18,118.90,19382900
2019-09-06,119.31,119.94,119.16,119.74,9466400
2019-09-09,118.13,118.27,117.61,117.62,15862700
2019-09-10,117.32,117.69,115.53,115.55,13851400
2019-09-11,115.32,115.93,115.31,115.35,10941700
2019-09-12,116.22,116.47,114.22,114.59,19163300
2019-09-13,113.58,113.93,112.15,112.15,18922200
2019-09-16,113.25,113.81,112.73,113.58,10971600
2019-09-17,113.64,114.66,113.36,114.19,9081200
2019-09-18,114.93,115.53,114.60,114.68,10984600
2019-09-19,115.61,115.80,114.96,115.02,13176200
2019-09-20,115.62,116.61,115.35,116.54,11519800
2019-09-23,116.83,117.58,116.38,116.52,15246700
2019-09-24,116.98,118.15,116.97,117.92,12421600
2019-09-25,117.67,117.90,115.92,116.20,14147100
2019-09-26,116.85,117.44,116.55,116.94,9636500
2019-09-27,116.89,117.44,116.75,117.23,10386900
2019-09-30,116.53,117.53,116.50,117.52,8006900
2019-10-01,116.23,118.41,116.13,117.87,16613700
2019-10-02,118.04,118.70,117.85,118.16,12891500
2019-10-03,118.46,119.85,118.41,119.24,13470500
2019-10-04,119.59,120.15,119.47,120.12,11516200
2019-10-07,119.43,119.74,119.06,119.12,11013900
2019-10-08,119.98,120.07,118.99,119.44,14529700
2019-10-09,118.97,118.98,118.32,118.77,8608800
2019-10-10,117.76,117.81,116.61,117.00,15054200
2019-10-11,116.00,116.09,114.95,115.55,26294000
